Substrate,ECNumber,Organism_ID_sabio,kcat,original_index
(+)-anti-BPDE,2.5.1.18,9606,0.05,0
(-)-Camphor,1.14.14.1,9606,0.08166667,1
(-)-Jasmonic acid,2.1.1.141,3702,70,2
(-)-Jasmonic acid,6.3.2.52,3702,0.07333333,3
(-)-Ureidoglycolate,3.5.1.116,39947,55,4
(-)-anti-BPDE,2.5.1.18,9606,0.021,5
(1R)-(-)-Camphorquinone,1.1.1.209,10090,1.1,6
(1R)-(-)-Camphorquinone,1.1.1.51,10116,1.3,7
(1R)-(-)-Camphorquinone,1.1.1.62,10116,1.646667,8
"(1R,4S)-1-Hydroxy-2-oxolimonene",1.14.13.105,1833,4.9,9
"(1R,4S)-Menthone",1.14.13.105,1833,3.6,10
(1S)-(+)-Camphorquinone,1.1.1.209,10090,1.15,11
(1S)-(+)-Camphorquinone,1.1.1.51,10116,1.883333,12
(1S)-(+)-Camphorquinone,1.1.1.62,10116,0.2,13
"(1S,4R)-1-Hydroxy-2-oxolimonene",1.14.13.105,1833,3.9,14
(24S)-Hydroxycholesterol 24-sulfate,2.8.2.2,9606,40.16667,15
(24S)-Hydroxycholesterol 3-sulfate,2.8.2.2,9606,1.883333,16
"(2E)-2-Hydroxypenta-2,4-dienoic acid",5.3.2.6,303,150,17
"(2E)-2-Hydroxypenta-2,4-dienoic acid",5.3.2.6,395495,2,18
"(2E,5Z)-Octadienoyl-CoA",5.3.3.8,10116,45,19
"(2E,5Z)-Tetradecadienoyl-CoA",5.3.3.8,10116,15,20
(2RS)-4-Arsono-2-hydroxybutanoate,2.7.2.3,559292,0.12,21
(3-Indolyl)-glycerol phosphate,4.1.2.8,4577,2.8,22
(3-Indolyl)-glycerol phosphate,4.2.1.20,83333,6.64,23
(3-Indolyl)-glycerol phosphate,4.2.1.20,243274,5.6,24
"(3R,4R)-7,2'-Dihydroxy-4'-methoxyisoflavanol",4.2.1.139,46348,590,25
(4R)-Dihydrocarvone,1.14.13.105,1833,3.9,26
"(6E,10E)-Geranyllinalool",1.14.14.58,3702,0.11,27
"(9Z,12Z)-(11S)-11-Hydroperoxyoctadeca-9,12-dienoate",1.13.11.45,36779,9.1,28
(Alginate)n,4.2.2.26,522373,34.8,29
(E)-2-Methylgeranyl diphosphate,4.2.3.118,100226,0.039,30
"(R)-2,3-Dihydroxy-3-methylbutanoate",1.1.1.86,83333,0.51,31
(R)-2-Butanol,1.1.1.1,9544,1.9,32
(R)-2-Hydroxyglutarate,1.1.1.399,83333,0.71,33
(R)-2-Hydroxyglutarate,1.1.1.42,83333,0.000724,34
(R)-2-Hydroxyisocaproyl-CoA,4.2.1.157,1496,160,35
(R)-2-Oxo-3-methylpentanoate,1.4.1.20,1421,7.2,36
(R)-3-Hydroxybutanoate,1.1.1.30,9606,0.01583333,37
(R)-4'-Phosphopantothenoyl-L-cysteine,4.1.1.36,9606,2.9,38
(R)-4'-Phosphopantothenoyl-L-cysteine,4.1.1.36,83333,0.8333333,39
(R)-5-Diphosphomevalonate,4.1.1.33,559292,4.9,40
(R)-Amygdalin,3.2.1.21,39947,0.44,41
(R)-Indan-1-ol,1.1.1.213,9606,0.005,42
(R)-Indan-1-ol,1.1.1.50,9606,0.2666667,43
(R)-Indan-1-ol,1.1.1.209,10090,0.45,44
(R)-Lipoic acid,1.8.1.4,9606,9.7,45
(R)-Pantothenate,2.7.1.33,69014,0.21,46
(R)-Pantothenate,2.7.1.33,83332,0.411,47
(R)-Pantothenate,2.7.1.33,83333,1.14,48
(R)-Pantothenate,2.7.1.33,85962,2.09,49
(R)-Pantothenate,2.7.1.33,93061,329,50
(R)-Pantothenate,2.7.1.33,224308,2.12,51
(R)-Pantothenate,2.7.1.33,243274,0.29,52
(R)-Prunasin,3.2.1.21,39947,1.41,53
(R)-S-Lactoylglutathione,3.1.2.6,3702,3930,54
(R)-S-Lactoylglutathione,3.1.2.6,5833,119.5833,55
(R)-S-Lactoylglutathione,3.1.2.6,9606,780,56
(R)-S-Lactoylglutathione,3.1.2.6,10090,450,57
(R)-S-Lactoylglutathione,3.1.2.6,83333,53,58
"(R,R)-Butane-2,3-diol",1.1.1.4,559292,1300,59
"(R,S)-Norcoclaurine",2.1.1.128,3469,0.08,60
"(R,S)-Norreticuline",2.1.1.115,150095,0.05,61
"(R,S)-Stylopine",2.1.1.122,3467,0.5,62
"(R,S)-Stylopine",2.1.1.122,215227,0.001,63
(S)(+)-Allantoin,3.5.2.5,3702,879,64
(S)(+)-Allantoin,3.5.2.5,83333,470,65
(S)-1-Phenylethanol,1.1.1.14,9940,0.1,66
(S)-1-Phenylethanol,1.1.1.311,76114,2,67
(S)-2-Acetolactate,1.1.1.86,83333,21,68
(S)-2-Acetolactate,1.1.1.383,583356,3.3,69
(S)-2-Butanol,1.1.1.1,9544,1.4,70
(S)-2-Hydroxyglutarate,1.1.1.399,83333,0.25,71
(S)-2-Hydroxyglutarate,1.1.3.15,83333,0.08,72
(S)-2-Methylbutanol,1.1.1.1,9544,0.89,73
(S)-2-Methylbutanoyl-CoA,1.3.99.12,4113,1.77,74
(S)-3-Hydroxyisobutyryl-CoA,3.1.2.4,10116,266,75
(S)-Ethylmalonyl-CoA,4.1.1.94,10090,10,76
(S)-Indan-1-ol,1.1.1.112,9606,0.4166667,77
(S)-Indan-1-ol,1.1.1.213,9606,0.2666667,78
(S)-Indan-1-ol,1.1.1.50,9606,0.3166667,79
(S)-Indan-1-ol,1.3.1.20,9606,0.1833333,80
(S)-Indan-1-ol,1.1.1.51,10116,0.4166667,81
(S)-Indan-1-ol,1.1.1.62,10116,0.1133333,82
(S)-Lipoic acid,1.8.1.4,9606,7.1,83
(S)-Mandelate,1.1.99.31,303,360,84
(S)-Mandelate,1.1.3.15,9606,0.11,85
"1,1-Dimethoxydecane",1.2.99.7,879,1.22,86
"1,10-Diaminodecane",1.4.9.1,266,21,87
"1,2,3,4-Tetrahydronaphth-1-ol",1.1.1.213,9606,0.3,88
"1,2,3,4-Tetrahydronaphth-1-ol",1.1.1.50,9606,0.5833333,89
"1,2,3,4-Tetrahydronaphth-1-ol",1.3.1.20,9606,0.4333333,90
"1,2,3-Tribromopropane",3.8.1.5,1829,3.6,91
"1,2-Butanediol",1.1.1.4,559292,606.6667,92
"1,2-Dibromoethane",3.8.1.5,1829,14.3,93
"1,2-Dibromoethane",3.8.1.5,452662,29.33,94
"1,2-Dibromoethane",3.8.1.5,861109,29.33,95
"1,2-Dibromopropane",3.8.1.5,1829,2.3,96
"1,2-Dichloro-4-nitrobenzene",2.5.1.18,559292,1.1,97
"1,2-Dihydronaphthalene-1,2-diol",1.1.1.50,9606,0.09,98
"1,2-Diselenolane-3-pentanoic acid",1.8.1.4,9606,4.7,99
"1,2-Naphthoquinone",1.1.1.2,9606,14.68333,100
"1,2-Naphthoquinone",1.6.5.5,9606,0.2616667,101
"1,3-Diaminopropane",2.5.1.23,186497,0.06,102
"1,3-Dibromopropane",3.8.1.5,1829,2.7,103
"1,3-Dichloropropane",3.8.1.5,1829,1.3,104
"1,3-beta-D-Glucan",3.2.1.73,1390,300.7833,105
"1,3-beta-D-Glucan",3.2.1.73,1423,300.7833,106
"1,4-Dibromo-2,3-butanedione",1.1.1.10,6239,85.82,107
"1,4-Dibromo-2,3-butanedione",1.1.1.10,9606,0.48,108
"1,4-Dibromo-2,3-butanedione",1.1.1.10,10036,15,109
"1,4-Dibromo-2,3-butanedione",1.1.1.10,10090,42,110
"1,4-Dibromo-2,3-butanedione",1.1.1.10,10116,25,111
"1,4-Dibromo-2,3-butanedione",1.1.1.10,10141,13,112
"1,4-Dimethoxybenzene",1.11.1.16,5323,4,113
"1,4-Naphthoquinone",1.5.99.12,4577,169.6,114
"1,4-Naphthoquinone",1.8.1.9,10116,4.6,115
"1,4-Naphthoquinone",1.11.1.1,226185,3.4,116
"1,4-beta-D-Mannan",3.2.1.78,1423,11.13333,117
"1,5-Anhydro-D-fructose",1.1.1.263,10090,9.3,118
"1,5-Anhydro-D-fructose",1.1.1.292,106592,286.7,119
"1,5-Anhydro-D-glucitol",2.4.1.230,83333,1.05,120
"1,5-Bisdiphosphoinositol 2,3,4,6-tetrakisphosphate",3.6.1.52,559292,0.63,121
"1,6-Anhydro-N-acetyl-beta-muramate",2.7.1.170,83333,116.6667,122
"1,6-Diaminohexane",1.4.9.1,266,17,123
"1,6-Hexanediol",1.1.1.1,9606,2.566667,124
"1,7-Diaminoheptane",1.4.9.1,266,27,125
"1,8-Diaminonaphthalene",1.10.3.2,525904,0.295,126
"1,8-Diaminooctane",1.4.9.1,266,11,127
"1,9-Diaminononane",1.4.9.1,266,17,128
1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine,3.1.4.4,1424779,70.6,129
1-(1Z-Octadecenyl)-sn-glycero-3-phosphoethanolamine,3.1.4.4,1424779,4.51,130
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,4.1.1.48,83332,0.16,131
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,4.1.1.48,83333,9.3,132
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,4.1.1.48,186497,8.4,133
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,4.1.1.48,208964,11.1,134
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,4.1.1.48,243274,0.11,135
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,4.1.1.48,273057,0.42,136
1-(4-Hydroxyphenyl)-2-aminoethanol,2.1.1.28,9606,0.02,137
1-(4-Hydroxyphenyl)-2-aminoethanol,1.1.1.14,9940,0.13,138
1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide,3.5.4.10,9606,8.6,139
1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate,5.4.99.18,83333,15.6,140
"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide",1.10.5.1,9606,46.66667,141
1-Aminocyclopropane-1-carboxylate,3.5.99.7,303,2.433333,142
1-Aminocyclopropane-1-carboxylate,1.14.17.4,3435,0.09333333,143
1-Arachidonoyl-sn-glycerol 3-phosphate,3.1.3.76,9606,0.25,144
1-Bromopropane,3.8.1.5,1829,2.7,145
1-Butanol,1.1.9.1,303,71.8,146
1-Butanol,1.1.1.1,7225,4.3,147
1-Butanol,1.1.1.1,9544,2.2,148
1-Butanol,1.1.1.1,9606,5.833333,149
1-Butanol,1.1.1.1,9796,5.2,150
1-Butanol,1.1.1.1,10116,14.33333,151
1-Butanol,1.1.1.2,83333,0.004333333,152
1-Butanol,1.1.1.1,93934,7.216667,153
1-Butanol,1.1.1.1,191545,8.111667,154
1-Butanol,1.1.9.1,208964,25.6,155
1-Butanol,1.1.1.2,233413,4.6,156
1-Butanol,1.1.1.1,273057,1.966667,157
1-Carboxybiuret,3.5.1.131,47660,15.5,158
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,529,16.51,159
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,3702,0.98,160
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,7168,35.4,161
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,7227,360,162
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,9031,26.53,163
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,9606,96,164
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,10090,6.9,165
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,10116,1.166667,166
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,36329,0.105,167
"1-Chloro-2,4-dinitrobenzene",2.5.1.18,559292,13.1,168
1-Chlorobutane,3.8.1.5,452662,1.11,169
1-Chlorobutane,3.8.1.5,861109,1.11,170
1-Chlorohexane,3.8.1.5,452662,2.6,171
1-Chlorohexane,3.8.1.5,861109,2.6,172
1-Chloropropane,3.8.1.5,1829,0.48,173
1-Decanol,1.1.1.1,9606,0.6666667,174
1-Deoxy-D-xylulose 5-phosphate,1.1.1.267,83333,9833.333,175
"1-Fluoro-2,4-dinitrobenzene",2.5.1.18,7168,85.1,176
1-Hexanol,2.4.1.85,4558,0.06,177
1-Hexanol,1.1.1.1,7225,4,178
1-Hexanol,1.1.1.1,9544,1.6,179
1-Hexanol,1.1.1.1,9606,5.166667,180
1-Hexanol,1.1.1.1,9796,3.8,181
1-Hexanol,1.1.1.1,10090,30.83333,182
1-Hexanol,1.1.1.2,83333,0.05,183
1-Indanole,1.3.1.20,9606,0.1633333,184
1-Kestose,3.2.1.26,3702,21,185
1-Methyl-D-tryptophan,1.13.11.52,9606,0.095,186
1-Myristoylglycerol 3-phosphate,3.1.3.76,9606,0.354,187
1-Naphthaldehyde,1.1.1.21,9606,2.6,188
1-Naphthylacetic acid,3.1.2.12,83333,5.09,189
1-Naphthylbutanoic acid,3.1.1.73,105351,2.33,190
1-Nitro-3-guanidinobenzene,3.5.3.1,10116,0.0015,191
1-Nitrobutane,1.7.3.1,5507,6.1,192
1-Nitrobutane,1.13.12.16,367110,6.2,193
1-Nitrohexane,1.13.12.16,367110,1.7,194
1-Nitropentane,1.13.12.16,367110,4.3,195
1-Nitropropane,1.13.12.16,367110,1300,196
1-Nonanol,1.1.1.1,9606,0.8833333,197
1-O-4-Hydroxybenzoyl-beta-D-glucose,2.4.1.300,85439,0.036,198
1-O-Feruloyl-beta-D-glucose,2.4.1.299,3570,0.39,199
1-O-Vanilloyl-beta-D-glucose,2.4.1.299,3570,0.07,200
1-O-Vanilloyl-beta-D-glucose,2.4.1.300,85439,0.17,201
1-Octanal,1.2.99.7,879,1.2,202
1-Octanal,1.1.1.1,9606,3.333333,203
1-Octanal,1.2.1.3,9606,15,204
1-Octanal,1.2.1.5,10090,4.8,205
1-Octanal,1.1.1.1,10116,390,206
1-Octanal,1.1.1.1,93934,17,207
1-Octanal,1.2.1.3,224308,0.97,208
1-Octanal,1.1.1.2,233413,4.9,209
1-Octanal,1.1.1.2,246196,37.8,210
1-Octanol,1.1.1.284,7227,21.66667,211
1-Octanol,1.1.1.1,7740,12.33333,212
1-Octanol,1.1.1.1,8801,0.2666667,213
1-Octanol,1.1.1.1,9606,0.04,214
1-Octanol,1.1.1.284,9606,7.333333,215
1-Octanol,1.1.1.1,9796,4.333333,216
1-Octanol,1.1.1.1,10116,5,217
1-Octanol,1.1.1.2,83333,0.0075,218
1-Octanol,1.1.1.1,93934,8.883333,219
1-Oleoyl-lysophosphatidate,3.1.3.76,9606,0.177,220
1-Palmitoyl-2-(5-oxovaleroyl)-sn-glycero-3-phosphatidylcholine,1.1.1.21,9606,0.6033333,221
1-Palmitoylglycerol 3-phosphate,3.1.3.76,9606,0.167,222
1-Pentanol,1.1.1.1,7225,1.8,223
1-Pentanol,1.1.1.284,7227,14,224
1-Pentanol,1.1.1.1,8801,0.3666667,225
1-Pentanol,1.1.1.1,9544,2.2,226
1-Pentanol,1.1.1.1,9606,8,227
1-Pentanol,1.1.1.1,9796,4.3,228
1-Pentanol,1.1.1.1,10116,48.83333,229
1-Pentanol,1.1.1.2,83333,0.003,230
1-Pentanol,1.1.1.1,93934,2.916667,231
"1-Phenyl-1,2-propanedione",1.1.1.10,9606,0.78,232
"1-Phenyl-1,2-propanedione",1.1.1.10,10036,39,233
"1-Phenyl-1,2-propanedione",1.1.1.10,10090,21,234
"1-Phenyl-1,2-propanedione",1.1.1.10,10116,45,235
"1-Phenyl-1,2-propanedione",1.1.1.10,10141,23,236
1-Phenylethanol,1.1.1.1,7225,1.1,237
1-Phenylisatin,1.1.1.209,10090,0.5833333,238
"1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate",2.7.1.153,9606,7.5,239
1-Pyrroline-2-carboxylate,1.5.1.1,192,615,240
1-Pyrroline-2-carboxylate,1.5.1.49,167879,124.5,241
1-Pyrroline-2-carboxylate,1.5.1.49,176299,32,242
1-Pyrroline-2-carboxylate,1.5.1.21,208964,41.66667,243
1-Pyrroline-2-carboxylate,1.5.1.49,208964,1.6,244
1-Pyrroline-2-carboxylate,1.5.1.49,220664,20,245
1-Pyrroline-2-carboxylate,1.5.1.49,222523,15,246
1-Pyrroline-2-carboxylate,1.5.1.49,226900,19,247
1-Pyrroline-2-carboxylate,1.5.1.49,246200,130,248
1-Pyrroline-2-carboxylate,1.5.1.49,271848,203,249
1-Pyrroline-2-carboxylate,1.5.1.49,272943,66,250
1-Pyrroline-2-carboxylate,1.5.1.49,281309,11,251
1-Pyrroline-2-carboxylate,1.5.1.49,288681,5.8,252
1-Pyrroline-2-carboxylate,1.5.1.49,318586,260,253
1-Pyrroline-2-carboxylate,1.5.1.49,320372,7.8,254
1-Pyrroline-2-carboxylate,1.5.1.49,323850,6.7,255
1-Pyrroline-2-carboxylate,1.5.1.49,339670,106,256
1-Pyrroline-2-carboxylate,1.5.1.49,375451,15,257
1-Pyrroline-2-carboxylate,1.5.1.49,395019,33,258
1-Tetradecanol,1.1.1.1,9606,0.01666667,259
1-beta-D-Arabinofuranosylcytosine 5'-monophosphate,2.7.4.14,9606,150,260
"10-Formyl-5,8-dideazafolate",2.1.2.2,83333,40,261
10-Formylfolate,2.1.2.2,83333,0.016,262
10-Formyltetrahydrofolate,2.1.2.2,83333,20.7,263
11-Deoxycorticosterone,1.1.1.209,10090,0.01666667,264
11-cis-Retinal,1.1.1.1,9606,0.3,265
11-cis-Retinal,1.1.1.1,10090,0.5666667,266
11-cis-Retinol,1.1.1.1,9606,3.166667,267
11-cis-Retinol,1.1.1.1,10090,3.75,268
"11beta,21-Dihydroxy-5beta-pregnane-3,20-dione",1.1.1.209,10090,0.1833333,269
12(13)-EpOME,3.3.2.10,6239,0.11,270
12-Hydroxydodecanoic acid,1.1.1.1,3702,5.583333,271
12-Hydroxydodecanoic acid,1.1.1.1,7227,14,272
12-Hydroxydodecanoic acid,1.1.1.1,7740,11.33333,273
12-Hydroxydodecanoic acid,1.1.1.1,9606,0.03,274
12-Hydroxydodecanoic acid,1.1.1.284,9606,6.166667,275
12-Hydroxydodecanoic acid,1.1.1.1,9796,1.833333,276
12-Hydroxydodecanoic acid,1.1.1.1,10116,20,277
12-Hydroxydodecanoic acid,1.1.1.1,93934,1.45,278
12-Methyl-tetradecanoic acid,1.14.14.1,224308,70.25,279
12-Methyl-tetradecanoic acid,1.14.14.1,279010,13.86667,280
13-Methyl-tetradecanoic acid,1.14.14.1,224308,64.41667,281
13-Methyl-tetradecanoic acid,1.14.14.1,279010,21.06667,282
13-cis-Retinal,1.1.1.1,9606,0.1833333,283
13-cis-Retinol,1.1.1.1,9606,0.01266667,284
14-Methyl-pentadecanoic acid,1.14.14.1,224308,79.83333,285
15-Keto-prostaglandin E1,1.3.1.48,10090,0.1233333,286
15-Keto-prostaglandin F2alpha,1.3.1.48,10090,0.2466667,287
15-Methyl-palmitic acid,1.14.14.1,224308,101.75,288
16-Hydroxyhexadecanoic acid,1.1.1.1,9606,6.166667,289
16-Hydroxyhexadecanoic acid,1.1.1.1,9796,1.666667,290
16-Ketoestrone,1.1.1.2,9606,7.083333,291
16-Ketoestrone,1.1.1.n11,9606,2.366667,292
16-Ketoestrone,1.1.1.209,10090,0.5833333,293
16-Ketoestrone,1.1.1.51,10116,1.883333,294
16-Ketoestrone,1.1.1.62,10116,0.08666667,295
"17alpha,20alpha-Dihydroxypregn-4-en-3-one",1.1.1.51,10116,0.1316667,296
"17alpha,20alpha-Dihydroxypregn-4-en-3-one",1.1.1.62,10116,0.000833333,297
17alpha-Hydroxy-5alpha-androstan-3-one,1.1.1.209,10090,0.1666667,298
17alpha-Hydroxyestr-4-en-3-one,1.1.1.209,10090,0.1266667,299
17alpha-Hydroxypregnenolone,1.14.14.19,8355,0.03266667,300
17alpha-Hydroxypregnenolone,1.14.14.19,9606,0.01133333,301
17alpha-Hydroxyprogesterone,1.14.14.19,8355,0.0355,302
17alpha-Hydroxyprogesterone,1.14.14.19,9606,0.002166667,303
17alpha-Hydroxyprogesterone,1.1.1.51,10116,0.04166667,304
17alpha-Hydroxyprogesterone,1.1.1.62,10116,0.1033333,305
"2',3'-Cyclic AMP",3.1.4.37,83333,7.63,306
"2',3'-Cyclic AMP",3.1.4.16,93061,0.91,307
"2',3'-Cyclic CMP",4.6.1.18,9913,3.49,308
"2',3'-Cyclic GMP",3.1.4.37,83333,1.97,309
"2',3'-Cyclic GMP",3.1.4.16,93061,0.37,310
"2',4'-Dihydroxychalcone",5.5.1.6,3879,12.58333,311
2'-(4-Methylumbelliferyl)-alpha-D-N-acetylneuraminic acid,3.2.1.18,9606,22.92,312
2'-Deoxyadenosine 3'-phosphate,3.1.3.2,83333,27,313
2'-Deoxyguanosine 3'-phosphate,3.1.3.2,83333,26,314
2'-Deoxyuridine 3'-phosphate,3.1.3.2,83333,29,315
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,274,24.6,316
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,292,619.44,317
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,382,3.46,318
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,644,81.98,319
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1283,6.87,320
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1390,4.8,321
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1402,83,322
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1408,377,323
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1409,72.6,324
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1423,40,325
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1833,22.15333,326
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1904,0.05773333,327
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1938,8,328
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,2725,0.018,329
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.11.1.7,3704,57.3,330
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.11.1.7,3991,10200,331
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,5322,5833.333,332
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,35619,6.6,333
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,40324,1.18,334
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,59843,1400,335
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,66692,90,336
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.11.2.1,71721,123,337
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,77133,34.39,338
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,83333,31.7,339
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,100226,60.6,340
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,103232,9.99,341
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.1,119864,28.73,342
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,119864,4.5,343
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,135461,8,344
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,160488,2.4,345
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,178306,1.82,346
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,181243,8.45,347
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,191221,549,348
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,196627,1.606667,349
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,220664,2.2,350
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,224308,1.383333,351
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,224324,2.066667,352
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,226186,216.6667,353
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,262724,4.77,354
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.11.1.7,272560,10.1,355
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,279010,83,356
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,293387,50.3,357
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,309800,10,358
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.3.3.5,315750,716,359
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,354242,7.766667,360
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,358898,300,361
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,439375,0.93,362
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,463191,7.383333,363
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,492218,68409,364
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,504728,5.416667,365
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,525904,2.133,366
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,575584,300,367
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,633276,0.393,368
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,671179,592,369
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,762633,0.365,370
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,866894,2.95,371
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,886559,1037,372
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,936599,77.9,373
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,997250,50.1,374
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,997253,14.4,375
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,997255,5.6,376
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1236968,14.93333,377
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1265493,24.3,378
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1577051,1,379
